幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.43500,31.76000,31.76500,31.68500,31.58400,31.49000,31.40000,31.31000,31.24500,本行賣出,32.10500,31.91000,31.87200,31.80200,31.71300,31.62800,31.55500,31.48200,31.42800,
HKD,本行買入,3.94500,4.06600,4.06100,4.05300,4.04600,4.03600,4.02800,4.02000,4.01100,本行賣出,4.14900,4.13600,4.12300,4.11800,4.11000,4.10100,4.09500,4.08800,4.08200,
GBP,本行買入,41.06000,41.95500,42.24100,42.14300,42.03300,41.90900,41.78900,41.66900,41.54900,本行賣出,43.18000,42.58500,42.65700,42.59000,42.48400,42.36900,42.26600,42.16200,42.05900,
AUD,本行買入,21.53000,21.74500,21.86800,21.82500,21.77600,21.71900,21.66300,21.60300,21.54300,本行賣出,22.31000,22.09000,22.07700,22.05000,22.00100,21.94900,21.90200,21.85100,21.79900,
CAD,本行買入,23.09000,23.42000,23.41900,23.37800,23.33700,23.29400,23.25000,23.20600,23.16200,本行賣出,24.00000,23.75000,23.62700,23.60200,23.56300,23.52600,23.49200,23.45900,23.42500,
SGD,本行買入,24.07000,24.54000,24.63400,24.60100,24.57500,24.54400,24.51400,24.48500,24.45500,本行賣出,24.98000,24.76000,24.82700,24.82000,24.79600,24.77100,24.75100,24.73100,24.71000,
CHF,本行買入,36.66000,37.27000,37.42400,37.43100,37.44600,37.47500,37.48500,37.49500,37.50500,本行賣出,37.86000,37.66000,37.68800,37.72300,37.74400,37.77800,37.80600,37.83300,37.86100,
JPY,本行買入,0.20820,0.21500,0.21900,0.21910,0.21930,0.21970,0.21980,0.21990,0.22000,本行賣出,0.22100,0.22000,0.22310,0.22350,0.22370,0.22420,0.22450,0.22470,0.22490,
ZAR,本行買入,0.00000,1.79000,1.79400,1.78600,1.77700,1.76700,1.75700,1.74800,1.73800,本行賣出,0.00000,1.88000,1.87500,1.87000,1.86100,1.85100,1.84200,1.83300,1.82500,
SEK,本行買入,0.00000,3.05000,3.07800,3.07400,3.07000,3.06600,3.06300,3.05900,3.05600,本行賣出,0.00000,3.17000,3.17900,3.17800,3.17500,3.17300,3.17100,3.16900,3.16700,
NZD,本行買入,19.46000,19.79000,19.97700,19.93200,19.88100,19.82800,19.77600,19.72300,19.67100,本行賣出,20.31000,20.09000,20.18500,20.15600,20.10500,20.05700,20.01300,19.96900,19.92500,
THB,本行買入,0.84040,0.95080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03040,0.99680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.50090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.37000,34.88500,35.17900,35.13600,35.07500,35.02400,34.97000,34.91600,34.82800,本行賣出,35.71000,35.48500,35.58700,35.56000,35.50700,35.47500,35.44000,35.40500,35.37000,
KRW,本行買入,0.02233,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02623,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00105,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.60200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.12700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.42900,4.49600,4.50520,4.50350,4.50220,4.49920,4.49520,4.49010,4.48720,本行賣出,4.59100,4.55600,4.55610,4.55620,4.55460,4.55310,4.55150,4.55000,4.54840,
